"month","group","ASMRper100kpersonyears"
"2021-09","NoVax",11472.6
"2021-09","2nd > 3wks ago",7066.1
"2021-09","3rd < 3wks ago",912
"2021-09","3rd > 3wks ago",0
"2021-10","NoVax",11029.3
"2021-10","2nd > 3wks ago",11913.9
"2021-10","3rd < 3wks ago",2685.8
"2021-10","3rd > 3wks ago",3003.1
"2021-11","NoVax",12371.4
"2021-11","2nd > 3wks ago",23865.3
"2021-11","3rd < 3wks ago",4569.2
"2021-11","3rd > 3wks ago",4432.4
"2021-12","NoVax",14530.6
"2021-12","2nd > 3wks ago",35772.5
"2021-12","3rd < 3wks ago",9421.2
"2021-12","3rd > 3wks ago",6092.4
"2022-01","NoVax",12885.8
"2022-01","2nd > 3wks ago",35333.9
"2022-01","3rd < 3wks ago",15139.5
"2022-01","3rd > 3wks ago",6929.1
"2022-02","NoVax",10085.8
"2022-02","2nd > 3wks ago",23880.3
"2022-02","3rd < 3wks ago",18298
"2022-02","3rd > 3wks ago",7058
"2022-03","NoVax",9605.4
"2022-03","2nd > 3wks ago",20353.6
"2022-03","3rd < 3wks ago",12883.6
"2022-03","3rd > 3wks ago",7001.9
"2022-04","NoVax",9619.7
"2022-04","2nd > 3wks ago",17321.7
"2022-04","3rd < 3wks ago",14403.5
"2022-04","3rd > 3wks ago",7362
