"month","age","group","ASMRper100kpersonyears"
"2021-09","60-69","NoVax",517.3
"2021-09","60-69","2nd > 3wks ago",62.1
"2021-09","60-69","3rd < 3wks ago",0
"2021-09","60-69","3rd > 3wks ago",0
"2021-10","60-69","NoVax",457.4
"2021-10","60-69","2nd > 3wks ago",67.9
"2021-10","60-69","3rd < 3wks ago",17.2
"2021-10","60-69","3rd > 3wks ago",0
"2021-11","60-69","NoVax",659.4
"2021-11","60-69","2nd > 3wks ago",133.4
"2021-11","60-69","3rd < 3wks ago",14
"2021-11","60-69","3rd > 3wks ago",49.2
"2021-12","60-69","NoVax",579.2
"2021-12","60-69","2nd > 3wks ago",306.6
"2021-12","60-69","3rd < 3wks ago",16.2
"2021-12","60-69","3rd > 3wks ago",29.4
"2022-01","60-69","NoVax",679.6
"2022-01","60-69","2nd > 3wks ago",606
"2022-01","60-69","3rd < 3wks ago",87.8
"2022-01","60-69","3rd > 3wks ago",44.2
"2022-02","60-69","NoVax",203.3
"2022-02","60-69","2nd > 3wks ago",174
"2022-02","60-69","3rd < 3wks ago",0
"2022-02","60-69","3rd > 3wks ago",31.8
"2022-03","60-69","NoVax",101.9
"2022-03","60-69","2nd > 3wks ago",123.3
"2022-03","60-69","3rd < 3wks ago",0
"2022-03","60-69","3rd > 3wks ago",29.1
"2022-04","60-69","NoVax",137.4
"2022-04","60-69","2nd > 3wks ago",163.6
"2022-04","60-69","3rd < 3wks ago",0
"2022-04","60-69","3rd > 3wks ago",45.6
