"month","group","ASMRper100kpersonyears"
"2021-09","NoVax","2599.1"
"2021-09","2nd > 3wks ago","456.3"
"2021-09","3rd < 3wks ago",0
"2021-09","3rd > 3wks ago",0
"2021-10","NoVax","2248.8"
"2021-10","2nd > 3wks ago","816.8"
"2021-10","3rd < 3wks ago","109.4"
"2021-10","3rd > 3wks ago","64.6"
"2021-11","NoVax","2621.0"
"2021-11","2nd > 3wks ago","2048.5"
"2021-11","3rd < 3wks ago","127.1"
"2021-11","3rd > 3wks ago","126.0"
"2021-12","NoVax","4189.5"
"2021-12","2nd > 3wks ago","3571.2"
"2021-12","3rd < 3wks ago","376.0"
"2021-12","3rd > 3wks ago","177.7"
"2022-01","NoVax","4009.0"
"2022-01","2nd > 3wks ago","7057.8"
"2022-01","3rd < 3wks ago","1373.3"
"2022-01","3rd > 3wks ago","632.4"
"2022-02","NoVax","2302.3"
"2022-02","2nd > 3wks ago","3090.6"
"2022-02","3rd < 3wks ago","1554.2"
"2022-02","3rd > 3wks ago","560.2"
"2022-03","NoVax","1471.3"
"2022-03","2nd > 3wks ago","2180.7"
"2022-03","3rd < 3wks ago",0
"2022-03","3rd > 3wks ago","566.9"
"2022-04","NoVax","2020.8"
"2022-04","2nd > 3wks ago","1754.0"
"2022-04","3rd < 3wks ago",0
"2022-04","3rd > 3wks ago","783.1"
