"month","age","group","ASMRper100kpersonyears"
"2021-09","60-69","NoVax",1500.8
"2021-09","60-69","2nd > 3wks ago",792.7
"2021-09","60-69","3rd < 3wks ago",404.1
"2021-09","60-69","3rd > 3wks ago",0
"2021-10","60-69","NoVax",1376.3
"2021-10","60-69","2nd > 3wks ago",868.6
"2021-10","60-69","3rd < 3wks ago",376.3
"2021-10","60-69","3rd > 3wks ago",410.9
"2021-11","60-69","NoVax",1304.8
"2021-11","60-69","2nd > 3wks ago",1147.6
"2021-11","60-69","3rd < 3wks ago",340.1
"2021-11","60-69","3rd > 3wks ago",707.6
"2021-12","60-69","NoVax",1262.1
"2021-12","60-69","2nd > 3wks ago",3019.3
"2021-12","60-69","3rd < 3wks ago",455.2
"2021-12","60-69","3rd > 3wks ago",620.3
"2022-01","60-69","NoVax",1055.6
"2022-01","60-69","2nd > 3wks ago",3407.6
"2022-01","60-69","3rd < 3wks ago",1078.4
"2022-01","60-69","3rd > 3wks ago",645.3
"2022-02","60-69","NoVax",1192.2
"2022-02","60-69","2nd > 3wks ago",2811.8
"2022-02","60-69","3rd < 3wks ago",1519
"2022-02","60-69","3rd > 3wks ago",675.3
"2022-03","60-69","NoVax",1016.9
"2022-03","60-69","2nd > 3wks ago",2197.8
"2022-03","60-69","3rd < 3wks ago",1210.1
"2022-03","60-69","3rd > 3wks ago",700.6
"2022-04","60-69","NoVax",950.2
"2022-04","60-69","2nd > 3wks ago",1880.8
"2022-04","60-69","3rd < 3wks ago",1823.9
"2022-04","60-69","3rd > 3wks ago",689.5
